timestamps,BMWetmc_u_HvsHtrVoltAct,BMWcif_soc_HvsDisp_si,BMWhvcha_pwr_DcDispPwrCha_si_KW
286.0,0.0,38,959.95125
287.0,0.0,38,959.95125
288.0,0.0,38,960.3752227983148
289.0,0.0,38,960.575
290.0,0.0,38,960.575
291.0,0.0,38,960.575
292.0,0.0,38,960.575
293.0,0.0,38,960.7831797539416
294.0,0.0,38,961.19875
295.0,0.0,38,961.19875
296.0,0.0,38,961.19875
297.0,0.0,38,961.19875
298.0,0.0,38,961.19875
299.0,0.0,38,961.19875
300.0,0.0,38,961.4095578998557
301.0,0.0,38,961.19875
302.0,0.0,38,961.5911364305149
303.0,0.0,38,961.8225
304.0,0.0,38,961.8225
305.0,0.0,38,961.8225
306.0,0.0,38,961.8225
307.0,0.0,38,961.8225
308.0,0.0,38,962.44625
309.0,0.0,38,962.44625
310.0,0.0,38,962.44625
311.0,0.0,38,962.44625
312.0,0.0,38,962.44625
313.0,0.0,38,962.44625
314.0,0.0,38,962.6491261656379
315.0,0.0,38,963.07
316.0,0.0,38,963.07
317.0,0.0,38,963.07
318.0,0.0,38,963.07
319.0,0.0,38,963.07
320.0,0.0,39,963.07
321.0,0.0,39,963.07
322.0,0.0,39,963.4761793153336
323.0,0.0,39,963.69375
324.0,0.0,39,963.69375
325.0,0.0,39,963.69375
326.0,0.0,39,963.69375
327.0,0.0,39,963.69375
328.0,0.0,39,963.69375
329.0,0.0,39,963.69375
330.0,0.0,39,963.69375
331.0,0.0,39,964.3175
332.0,0.0,39,964.3175
333.0,0.0,39,964.3175
334.0,0.0,39,964.3175
335.0,0.0,39,964.3175
336.0,0.0,39,964.3175
337.0,0.0,39,964.3175
338.0,0.0,39,964.7061676013112
339.0,0.0,39,964.94125
340.0,0.0,39,964.94125
341.0,0.0,39,964.94125
342.0,0.0,39,964.94125
343.0,0.0,39,964.94125
344.0,0.0,39,964.94125
345.0,0.0,39,964.94125
346.0,0.0,39,964.94125
347.0,0.0,39,965.174841077922
348.0,0.0,39,965.565
349.0,0.0,39,965.565
350.0,0.0,39,965.565
351.0,0.0,39,965.565
352.0,0.0,39,965.565
353.0,0.0,39,965.7998543425684
354.0,0.0,39,965.8224768574269
355.0,0.0,39,966.18875
356.0,0.0,39,966.18875
357.0,0.0,39,966.18875
358.0,0.0,39,966.18875
359.0,0.0,39,966.18875
360.0,0.0,39,966.18875
361.0,0.0,39,966.5458172127641
362.0,0.0,39,966.8125
363.0,0.0,39,966.8125
364.0,0.0,39,966.8125
365.0,0.0,40,966.8125
366.0,0.0,40,966.8125
367.0,0.0,40,966.8125
368.0,0.0,40,966.8125
369.0,0.0,40,502.8855078125
370.0,0.0,40,0.5721264600165407
371.0,0.0,40,0.0
372.0,0.0,40,0.0
373.0,0.0,40,0.0
374.0,0.0,40,0.0
375.0,0.0,40,0.0
376.0,0.0,40,0.0
377.0,0.0,40,0.0
378.0,0.0,40,0.0
379.0,0.0,40,0.0
380.0,0.0,40,0.0
381.0,0.0,40,0.0
382.0,0.0,40,0.0
383.0,0.0,40,0.0
384.0,0.0,40,0.0
385.0,0.0,40,0.0
386.0,0.0,40,0.0
387.0,0.0,40,0.0
388.0,0.0,40,0.0
389.0,0.0,40,0.0
390.0,0.0,40,0.0
391.0,0.0,40,0.0
392.0,0.0,40,0.0
393.0,0.0,40,0.0
394.0,0.0,40,0.0
395.0,0.0,40,0.0
396.0,0.0,40,0.0
397.0,0.0,40,0.0
398.0,0.0,40,0.0
399.0,0.0,40,0.0
400.0,0.0,40,0.0
401.0,0.0,40,0.0
402.0,0.0,40,0.0
403.0,0.0,40,0.0
404.0,0.0,40,0.0
405.0,0.0,40,0.0
406.0,0.0,40,0.0
407.0,0.0,40,0.0
408.0,0.0,40,0.0
409.0,0.0,40,0.0
410.0,0.0,40,0.0
411.0,0.0,40,0.0
412.0,0.0,40,0.0
413.0,0.0,40,0.0
414.0,0.0,40,0.0
415.0,0.0,40,0.0
416.0,0.0,40,0.0
417.0,0.0,40,0.0
418.0,0.0,40,0.0
419.0,0.0,40,0.0
420.0,0.0,40,0.0
421.0,0.0,40,0.0
422.0,0.0,40,0.0
423.0,0.0,40,0.0
424.0,0.0,40,0.0
425.0,0.0,40,0.0
426.0,0.0,40,0.0
427.0,0.0,40,0.0
428.0,0.0,40,0.0
429.0,0.0,40,0.0
430.0,0.0,40,0.0
431.0,0.0,40,0.0
432.0,0.0,40,0.0
433.0,0.0,40,0.0
434.0,0.0,40,0.0
435.0,0.0,40,0.0
436.0,0.0,40,0.0
437.0,0.0,40,0.0
438.0,0.0,40,0.0
439.0,0.0,40,0.0
440.0,0.0,40,0.0
441.0,0.0,40,0.0
